Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Testsuite1,Chrome 61.0.3163.100,,2017-09-30 21:12:20,2017-09-30 21:12:44,23.636s,PASSED
,,,,,,
Test Cases/Test1,Chrome 61.0.3163.100,,2017-09-30 21:12:21,2017-09-30 21:12:44,23.036s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-09-30 21:12:22,2017-09-30 21:12:38,16.137s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-09-30 21:12:38,2017-09-30 21:12:42,3.970s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-09-30 21:12:42,2017-09-30 21:12:44,1.733s,PASSED
